250;Республика Косово
249;Зимбабве
248;Замбия
247;Южная Африка
246;Майотта
245;Йемен
244;Самоа
243;Уоллис и Футуна
242;Вануату
241;Вьетнам
240;Виргинские Острова (США)
239;"Виргинские о-ва, Британские"
238;Венесуэла
237;Сент-Винсент и Гренадины
236;Ватикан (Святой Престол)
235;Узбекистан
234;Уругвай
233;США
232;Внешние малые острова (США)
231;Уганда
230;Украина
229;Танзания
228;Тайвань
227;Тувалу
226;Тринидад и Тобаго
225;Турция
224;Тонга
223;Тунис
222;Туркменистан
221;Восточный Тимор
220;Токелау
219;Таджикистан
218;Таиланд
217;Того
216;Французские Южные Территории
215;Чад
214;Теркс и Кайкос острова
213;Свазиленд
212;Сирия
211;Сальвадор
210;Сан-Томе и Принсипи
209;ЮЖНЫЙ СУДАН
208;Суринам
207;Сомали
206;Сенегал
205;Сан-Марино
204;Сьерра-Леоне
203;Словакия
202;Шпицберген и Ян-Майен
201;Словения
200;Остров Святой Елены
199;Сингапур
198;Швеция
197;Судан
196;Сейшельские острова
195;Соломоновы острова
194;Саудовская Аравия
193;Руанда
192;Российская Федерация
191;Сербия
190;Румыния
189;Реюньон
188;Катар
187;Парагвай
186;Палау
185;Португалия
184;Государство Палестина
183;Пуэрто-Рико
182;Питкэрн
181;Сен-Пьер и Микелон
180;Польша
179;Пакистан
178;Филиппины
177;Папуа-Новая Гвинея
176;Французская Полинезия
175;Перу
174;Панама
173;Оман
172;Новая Зеландия
171;Ниуэ
170;Науру
169;Непал
168;Норвегия
167;Нидерланды
166;Никарагуа
165;Нигерия
164;Остров Норфолк
163;Нигер
162;Новая Каледония
161;Намибия
160;Мозамбик
159;Малайзия
158;Мексика
157;Малави
156;Мальдивы
155;Маврикий
154;Мальта
153;Монтсеррат
152;Мавритания
151;Мартиника
150;Северные Марианские о-ва
149;Макао
148;Монголия
147;Мьянма
146;Мали
145;Македония
144;Маршалловы о-ва
143;Мадагаскар
142;Сен-Мартен
141;Черногория
140;Молдова
139;Монако
138;Марокко
137;Ливия
136;Латвия
135;Люксембург
134;Литва
133;Лесото
132;Либерия
131;Шри-Ланка
130;Лихтенштейн
129;Сент-Люсия
128;Ливан
127;Лаос
126;Республика Казахстан
125;Острова Кайман
124;Кувейт
123;Южная Корея
122;Корея (КНДР)
121;Сент-Китс и Невис
120;Коморские о-ва
119;Кирибати
118;Камбоджа
117;Кыргызстан
116;Кения
115;Япония
114;Иордания
113;Ямайка
112;Джерси
111;Италия
110;Исландия
109;Иран
108;Ирак
107;Британская территория
106;Индия
105;Остров Мэн
104;Израиль
103;Ирландия
102;Индонезия
101;Венгрия
100;Гаити
99;Хорватия
98;Гондурас
97;Херд и Макдональд
96;Гонконг
95;Гайана
94;Гвинея-Бисау
93;Гуам
92;Гватемала
91;Южная Джорджия и Южные Сандвичевы острова
90;Греция
89;Экваториальная Гвинея
88;Гваделупа
87;Гвинея
86;Гамбия
85;Гренландия
84;Гибралтар
83;Гана
82;Гернси
81;Гвиана
80;Грузия
79;Гренада
78;Великобритания
77;Габон
76;Франция
75;Фареры
74;Микронезия (ФШ)
73;Фолклендские о-ва
72;Фиджи
71;Финляндия
70;Эфиопия
69;Испания
68;Эритрея
67;САДР
66;Египет
65;Эстония
64;Эквадор
63;Алжир
62;Доминиканская Республика
61;Доминика
60;Дания
59;Джибути
58;Германия
57;Чехия
56;Кипр
55;Остров Рождества
54;КЮРАСАО
53;Кабо-Верде
52;Куба
51;Коста-Рика
50;Колумбия
49;Китай
48;Камерун
47;Чили
46;Острова Кука
45;Кот-д'Ивуар
44;Швейцария
43;Конго
42;ЦАР
41;Демократическая Республика Конго
40;Кокосовые (Килинг) о-ва
39;Канада
38;Белиз
37;Республика Беларусь
36;Ботсвана
35;Остров Буве
34;Бутан
33;Багамские о-ва
32;Бразилия
31;"БОНЭЙР, СИНТ-ЭСАТИУС И САБА"
30;Боливия
29;Бруней-Даруссалам
28;Бермудские о-ва
27;Сен-Бартельми
26;Бенин
25;Бурунди
24;Бахрейн
23;Болгария
22;Буркина-Фасо
21;Бельгия
20;Бангладеш
19;Барбадос
18;Босния и Герцеговина
17;Азербайджан
16;Аландские о-ва
15;Аруба
14;Австралия
13;Австрия
12;Американское Самоа
11;Аргентина
10;Антарктида
9;Ангола
8;Нидерландские Антиллы
7;Армения
6;Албания
5;Ангилья
4;Антигуа и Барбуда
3;Афганистан
2;ОАЭ
1;Андорра
