id,name
0,Қанд лавлаги
1,Буғдой
2,Арпа
3,Маккажўхори
4,Шоли
5,Мош
6,Ловия
7,Ер ёнғоқ
8,Фасоль
9,Соя
10,Кунгабоқар
11,Кунжут
12,Супурги
13,Махсар
14,Зиғир
15,Тариқ
16,Рапс
17,Бодринг
18,Шолғом
19,Турп
20,Каром
21,Патинсон
22,Гул карам
23,Брокколи
24,Кольраби
25,Кабачки
26,Аччиқ қалампир
27,Ош лавлаги
28,Пиёз
29,Саримсоқ пиёз
30,Петрушка
31,Сельдерей
32,Кашнич
33,Кўк пиёз
34,Айсберг
35,Укроп
36,Редиска
37,Хашаки лавлаги
38,Оқ жўхори
39,Макка
40,Қулупнай
41,Жийда
42,Хандон писта
43,Қовоқ
44,Каноп
45,Тут
46,Гуллар
47,Ёнғоқ
48,Манзарали дарахтлар
49,Ismaloq
50,Қовун
51,Олма
52,Нок
53,Сабзи
54,Картошка
55,Ғўза
56,Тарвуз
57,Помидор
58,Ширин қалампир
59,Баклажон
60,Бехи
61,Ўрик
62,Бодом
63,Олхўри
64,Нўхат
65,Гилос
66,Олча
67,Нектарин
68,Лимон
69,Мандарин
70,Беда
71,Kivi
72,Узум
73,Карам
74,Шафтоли
75,Анор
76,Хурмо
77,Анжир
